State,Q2p (Percent Change),Real GDP (Millions of 2017 Dollars),Log Real GDP
Connecticut,3.0,23223906,16.96069273714138
Maine,2.2,1198786,13.996819936011441
Massachusetts,2.8,293087,12.588224772252358
New Hampshire,1.7,77102,11.2528844995522
Rhode Island,1.9,631770,13.356280682841934
Vermont,2.1,95926,11.471332339871864
Delaware,2.5,65011,11.082311765329093
District of Columbia,3.4,35917,10.488965999997278
Maryland,3.2,3980260,15.196857701760095
New Jersey,3.2,79347,11.28158591805648
New York,2.1,147570,11.902057918457494
Pennsylvania,2.3,430593,12.972918607393826
Illinois,2.4,676538,13.424743896486227
Indiana,3.8,1831169,14.420465118687336
Michigan,3.2,814704,13.610580136069421
Ohio,3.4,2954134,14.898716103265345
Wisconsin,2.8,893704,13.703129903134336
Iowa,2.8,417660,12.942422983390767
Kansas,4.2,564682,13.244018019820864
Minnesota,3.4,725370,13.494437148482765
Missouri,4.2,352941,12.774056183135988
Nebraska,3.0,1400468,14.152317024438752
North Dakota,1.6,201089,12.21150287511004
South Dakota,5.6,185853,12.132711317645157
Alabama,1.3,393936,12.883943738537603
Arkansas,3.9,355230,12.780520745993112
Florida,5.3,146449,11.894432523963532
Georgia,0.1,60018,11.002399796213234
Kentucky,2.3,57638,10.961937351385163
Louisiana,3.3,5095906,15.443948030224135
Mississippi,3.4,250740,12.432171824670016
North Carolina,1.5,146642,11.895749521264005
South Carolina,3.2,1334883,14.1043542055264
Tennessee,3.5,699114,13.457569098046953
Virginia,3.5,228919,12.341123508175214
West Virginia,3.0,255731,12.451881389754039
Arizona,2.5,121552,11.708097433743003
New Mexico,3.5,658944,13.398393832635634
Oklahoma,4.5,272449,12.51520671960627
Texas,3.0,430107,12.971789293924203
Colorado,3.2,613508,13.326948582982883
Idaho,2.1,83118,11.328016563885933
Montana,2.8,2917247,14.886150921302068
Utah,3.1,432050,12.976296601269546
Wyoming,1.7,112371,11.629561176034727
Alaska,2.3,211722,12.263029372365999
California,2.8,2160124,14.585676185420013
Hawaii,3.7,876509,13.683702251402517
Nevada,2.7,443496,13.00244406152537
Oregon,5.9,99369,11.506595472775356
Washington,3.2,58541,10.977482642436838
