State/Territory,Births,Fertility Rate,Deaths,Death Rate,Age Adjusted Rate
Alabama,58149.0,58.7,62294.0,1227.6,989.1
Alaska,9359.0,64.9,5719.0,779.6,821.3
Arizona,78547.0,54.9,74082.0,1006.7,784.6
Arkansas,35471.0,60.2,37855.0,1242.9,999.7
California,419104.0,52.8,313161.0,802.4,686.0
Colorado,62383.0,51.5,46787.0,801.2,736.3
Connecticut,35332.0,50.7,34583.0,953.7,716.8
Delaware,10816.0,57.3,11351.0,1114.6,829.1
District of Columbia,8075.0,44.9,5385.0,801.6,789.6
Florida,224433.0,55.6,239119.0,1074.9,714.7
Georgia,126130.0,56.0,102342.0,937.8,871.6
Hawaii,15535.0,59.3,13228.0,918.5,615.9
Idaho,22391.0,58.4,17162.0,885.1,771.4
Illinois,128350.0,51.8,122963.0,977.3,784.9
Indiana,79649.0,59.7,75368.0,1103.0,923.4
Iowa,36506.0,59.9,33973.0,1061.5,798.0
Kansas,34401.0,60.3,31551.0,1074.2,873.2
Kentucky,52315.0,61.1,57053.0,1264.4,1043.8
Louisiana,56479.0,61.8,52339.0,1140.2,974.7
Maine,12093.0,49.7,17364.0,1253.4,844.3
Maryland,68782.0,56.9,56456.0,915.8,746.5
Massachusetts,68584.0,48.7,63366.0,907.6,693.5
Michigan,102321.0,54.0,110499.0,1101.2,855.4
Minnesota,64015.0,58.2,51222.0,895.9,710.3
Mississippi,34675.0,59.7,37803.0,1285.8,1073.3
Missouri,68985.0,57.7,71851.0,1163.0,916.7
Montana,11175.0,53.2,11684.0,1040.6,795.9
Nebraska,24345.0,63.6,18615.0,945.9,773.5
Nevada,33193.0,53.2,30960.0,974.3,842.1
New Hampshire,12077.0,47.9,14515.0,1040.3,749.7
New Jersey,102893.0,58.7,81490.0,879.9,683.6
New Mexico,21614.0,53.1,23655.0,1119.3,901.4
New York,207774.0,53.6,173944.0,884.0,664.5
North Carolina,121562.0,57.6,112923.0,1055.5,877.1
North Dakota,9567.0,62.0,7041.0,903.5,739.2
Ohio,128231.0,57.3,138209.0,1175.6,917.2
Oklahoma,48332.0,60.4,47976.0,1193.5,1025.6
Oregon,39493.0,47.3,44598.0,1051.8,811.3
Pennsylvania,130252.0,53.3,147181.0,1134.6,818.2
Rhode Island,10269.0,47.5,10704.0,978.7,714.0
South Carolina,57820.0,57.0,61052.0,1155.7,918.8
South Dakota,11201.0,66.5,9016.0,991.0,801.0
Tennessee,82265.0,59.3,84989.0,1205.3,1009.2
Texas,389741.0,61.9,241441.0,804.0,816.9
Utah,45768.0,61.3,21886.0,647.4,755.0
Vermont,5316.0,44.3,6971.0,1077.3,757.6
Virginia,95630.0,55.6,82935.0,955.1,794.1
Washington,83333.0,53.3,69194.0,888.7,757.9
West Virginia,16929.0,54.0,27507.0,1549.6,1115.6
Wisconsin,60049.0,54.2,60590.0,1028.2,791.5
Wyoming,6049.0,55.4,5905.0,1015.7,826.8
Puerto Rico,19112.0,31.1,35111.0,1089.8,650.1
U.S. Virgin Islands,868.0,46.8,731.0,693.5,531.2
Guam,2518.0,76.9,1235.0,730.4,965.6
American Samoa,,,,,
Northern Marianas,467.0,51.5,271.0,526.5,839.3
